index,state,year,gas_consumption (BBtu),coal_consumption (BBtu),renewable_consumption (BBtu),petroleum_consumption (BBtu),nuclear_consumption (BBtu),expenditures (M dollars),price (dollars per MBtu)
74,MI,2002,984715.0,739866.0,99500.0,992007.0,324615.0,22114.8,9.95
75,MN,2002,374171.0,360822.0,104032.0,650633.0,142897.0,11648.2,9.56
76,MO,2002,278873.0,725679.0,37858.0,723507.0,87605.0,13025.1,10.36
77,MS,2002,354550.0,154339.0,49669.0,428283.0,105041.0,7253.6,9.91
78,MT,2002,70992.0,166322.0,108732.0,161571.0,0.0,2280.7,9.28
79,NC,2002,243143.0,770928.0,130792.0,876330.0,413784.0,18347.3,11.37
80,ND,2002,61592.0,422809.0,21759.0,123512.0,0.0,1924.0,6.69
81,NE,2002,121174.0,217939.0,44226.0,222228.0,105696.0,4197.6,9.63
82,NH,2002,26077.0,39845.0,28898.0,176568.0,97054.0,2972.4,12.81
83,NJ,2002,617094.0,104849.0,28790.0,1178970.0,322299.0,19107.8,10.59
84,NM,2002,229691.0,284132.0,8188.0,243128.0,0.0,3908.6,10.61
85,NV,2002,181010.0,164775.0,42485.0,234506.0,0.0,5304.6,13.05
86,NY,2002,1227223.0,280584.0,364410.0,1560207.0,413686.0,36598.0,12.7
87,OH,2002,862453.0,1396899.0,55136.0,1270998.0,113451.0,27491.8,10.37
88,OK,2002,522530.0,391379.0,40973.0,549321.0,0.0,8811.4,9.51
89,OR,2002,206808.0,37751.0,403564.0,366296.0,0.0,7653.1,11.11
90,PA,2002,700472.0,1457349.0,97199.0,1403563.0,794521.0,28636.0,10.81
91,RI,2002,89824.0,76.0,3736.0,98079.0,0.0,2032.0,12.72
92,SC,2002,190714.0,404455.0,80645.0,478674.0,556829.0,9972.1,10.03
93,SD,2002,41532.0,39957.0,52277.0,117665.0,0.0,1913.1,10.09
94,TN,2002,263690.0,655906.0,148413.0,737577.0,287927.0,13839.2,9.69
95,TX,2002,4444506.0,1550325.0,123648.0,5924903.0,371923.0,68744.5,7.96
96,UT,2002,172366.0,370551.0,11230.0,258213.0,0.0,4231.7,9.18
97,VA,2002,266853.0,482759.0,82137.0,855088.0,285549.0,15694.1,10.45
98,VT,2002,8399.0,25.0,22715.0,84489.0,41378.0,1562.6,13.8
99,WA,2002,240494.0,100832.0,893664.0,736282.0,94484.0,12223.2,10.45
100,WI,2002,388007.0,491990.0,110928.0,600959.0,129991.0,12643.8,10.0
101,WV,2002,155536.0,993467.0,16225.0,228699.0,0.0,4295.6,8.53
102,WY,2002,117387.0,480360.0,12279.0,150160.0,0.0,2183.3,8.03
103,US,2002,23513541.0,21902852.0,5726026.0,38122145.0,8145429.0,663964.4,10.1
104,AK,2003,415891.0,12552.0,19607.0,285417.0,0.0,2816.7,9.08
105,AL,2003,360483.0,873735.0,284732.0,561731.0,330137.0,12686.9,9.98
106,AR,2003,254571.0,253653.0,107933.0,357343.0,153093.0,7534.0,10.23
107,AZ,2003,275650.0,406537.0,84201.0,537072.0,297872.0,11922.7,13.86
108,CA,2003,2317062.0,69469.0,768593.0,3520087.0,370958.0,78234.1,13.83
109,CO,2003,436873.0,394163.0,28794.0,457424.0,0.0,9909.9,10.79
110,CT,2003,157252.0,41864.0,32973.0,434313.0,167566.0,9224.7,14.42
111,DC,2003,33700.0,173.0,926.0,29777.0,0.0,1578.6,15.82
112,DE,2003,47971.0,46997.0,1401.0,136588.0,0.0,2200.2,12.31
113,FL,2003,714826.0,723832.0,188488.0,1931768.0,322868.0,34861.4,13.59
114,GA,2003,390760.0,819031.0,221675.0,1033435.0,346601.0,21438.8,10.79
115,HI,2003,137.0,18044.0,13318.0,269414.0,0.0,3335.9,15.6
116,IA,2003,197629.0,444587.0,93652.0,375212.0,41559.0,8506.8,10.45
117,ID,2003,71754.0,10219.0,108868.0,140328.0,0.0,3186.9,10.7
118,IL,2003,1001534.0,1010087.0,127073.0,1238292.0,987308.0,30177.0,11.25
119,IN,2003,566838.0,1570700.0,57491.0,885902.0,0.0,18953.8,9.17
120,KS,2003,284722.0,389464.0,21917.0,419163.0,92648.0,7957.8,11.11
121,KY,2003,231384.0,943652.0,70509.0,644470.0,0.0,11270.3,9.77
122,LA,2003,1353179.0,247978.0,152633.0,1954979.0,168069.0,22948.7,8.58
123,MA,2003,414970.0,109373.0,50418.0,730803.0,51880.0,16201.4,14.76
124,MD,2003,204345.0,329590.0,54160.0,570714.0,142685.0,12458.1,12.34
125,ME,2003,73517.0,7481.0,132348.0,265720.0,0.0,4098.3,11.22
126,MI,2003,950714.0,747940.0,112635.0,968414.0,291332.0,24121.8,10.78
127,MN,2003,374189.0,390691.0,107570.0,671245.0,139799.0,13315.2,10.81
128,MO,2003,265133.0,795634.0,34678.0,739036.0,101089.0,14446.7,11.36
129,MS,2003,275147.0,178949.0,45369.0,480507.0,113625.0,8286.9,11.01
130,MT,2003,70048.0,188981.0,100455.0,157136.0,0.0,2581.8,10.79
131,NC,2003,227387.0,771618.0,188855.0,900018.0,426332.0,20310.3,12.29
132,ND,2003,56088.0,420832.0,24205.0,121722.0,0.0,2104.2,7.39
133,NE,2003,119741.0,227290.0,45556.0,229099.0,83344.0,4745.3,10.8
134,NH,2003,56415.0,41633.0,29851.0,200220.0,96677.0,3457.3,14.15
135,NJ,2003,635689.0,106857.0,26805.0,1146359.0,309629.0,21977.0,12.17
136,NM,2003,225220.0,305641.0,8743.0,248457.0,0.0,4456.7,11.93
137,NV,2003,191050.0,182553.0,37158.0,239284.0,0.0,5811.1,13.88
138,NY,2003,1131344.0,286179.0,359374.0,1760002.0,423959.0,43362.8,14.44
139,OH,2003,877891.0,1443498.0,63646.0,1303901.0,88327.0,31148.7,11.49
140,OK,2003,556306.0,393790.0,42001.0,545461.0,0.0,10175.5,10.89
141,OR,2003,215102.0,44884.0,386713.0,358058.0,0.0,7962.9,11.97
142,PA,2003,717461.0,1461986.0,110613.0,1446911.0,774989.0,32032.2,11.81
143,RI,2003,80339.0,101.0,3827.0,102986.0,0.0,2400.1,14.28
144,SC,2003,151904.0,419663.0,103801.0,495840.0,525453.0,11025.0,11.1
145,SD,2003,43868.0,43017.0,57222.0,112417.0,0.0,2085.8,11.17
146,TN,2003,265806.0,621425.0,184237.0,755961.0,251718.0,15251.3,10.63
147,TX,2003,4177143.0,1603971.0,117593.0,5978967.0,348485.0,83176.3,9.76
148,UT,2003,163527.0,379185.0,10520.0,276298.0,0.0,4782.8,10.19
149,VA,2003,272055.0,464353.0,110936.0,934350.0,258633.0,17915.2,11.27
150,VT,2003,8441.0,25.0,24055.0,87073.0,46317.0,1681.6,14.66
151,WA,2003,255839.0,118207.0,834753.0,723154.0,79360.0,13364.5,11.5
152,WI,2003,397869.0,488239.0,118300.0,579881.0,127310.0,14266.3,11.32
153,WV,2003,135367.0,978415.0,21237.0,211544.0,0.0,4669.7,9.68
154,WY,2003,120433.0,493897.0,11638.0,159203.0,0.0,2483.4,8.8
