state,year,gas_generation,gas_consumption,coal_generation,coal_consumption,oil_generation,oil_consumption,nuclear_generation,nuclear_consumption,non_renewable_gen,non_renewable_consumption,renewable_generation,renewable_consumption,expenditures (M dollars),price (dollars per MBtu),all_generation,all_consumption
AL,2002,390053,389965,460201,845999,50089,562366,332650,332650,1232993,2130980,252689,253609,11671.5,9.16,1485682,2384589
AR,2002,166236,247899,314,255242,42062,356282,152024,152024,360636,1011447,108618,108652,6974.5,9.39,469254,1120099
AZ,2002,306,255247,280064,406479,365,526176,322260,322260,602995,1510162,86879,88046,10461.4,12.39,689874,1598208
CA,2002,394973,2318656,0,70010,1495808,3704382,358707,358707,2249488,6451755,676213,684544,69633.5,12.07,2925701,7136299
CO,2002,995996,457708,788220,390480,119028,434502,0,0,1903244,1282690,21082,27044,8786.2,9.6,1924326,1309734
CT,2002,0,181665,0,34206,0,382283,155777,155777,155777,753931,28314,28612,7578.8,13.02,184091,782543
DC,2002,0,33688,0,99,0,33375,0,0,0,67162,880,881,1485.8,14.62,880,68043
DE,2002,0,53782,0,40536,0,134057,0,0,0,228375,1314,1315,2013.3,11.17,1314,229690
FL,2002,4893,708638,0,719670,21077,1892395,351940,351940,377910,3672643,174462,174380,30945.9,12.16,552372,3847023
GA,2002,0,393127,0,807121,0,1006589,324827,324827,324827,2531664,283704,283715,19223.3,9.53,608531,2815379
HI,2002,0,140,0,16618,0,257441,0,0,0,274199,10452,10462,2688.2,14.23,10452,284661
IA,2002,0,194041,0,441534,0,396593,47761,47761,47761,1079929,113940,85207,7738.6,9.36,161701,1165136
ID,2002,0,73482,0,10194,0,160021,0,0,0,243697,113779,113189,3211.3,9.95,113779,356886
IL,2002,250,1051213,758830,986832,64380,1196049,948761,948761,1772221,4182855,140266,111585,26852.3,10.13,1912487,4294440
IN,2002,1319,538368,789153,1547530,11380,852562,0,0,801852,2938460,52532,55332,16409.6,8.19,854384,2993792
KS,2002,522294,307432,4351,391664,193604,361909,94413,94413,814662,1155418,22196,19560,6584.4,9.83,836858,1174978
KY,2002,94052,236124,3098985,950941,15782,683158,0,0,3208819,1870223,62858,65077,10415.5,8.8,3271677,1935300
LA,2002,1650962,1475464,51958,232109,541262,1986027,180702,180702,2424884,3874302,140938,144121,19367.2,7.02,2565822,4018423
MA,2002,0,404456,0,118358,0,711365,60237,60237,60237,1294416,46721,46804,14177.8,12.77,106958,1341220
MD,2002,23,203489,125682,325834,0,544694,126641,126641,252346,1200658,38064,41124,10786.1,11.08,290410,1241782
ME,2002,0,126275,0,8000,0,230101,0,0,0,364376,140385,140389,3643.8,9.85,140385,504765
MI,2002,285789,984715,0,739866,41864,992007,324615,324615,652268,3041203,89210,99500,22114.8,9.95,741478,3140703
MN,2002,0,374171,0,360822,0,650633,142897,142897,142897,1528523,107216,104032,11648.2,9.56,250113,1632555
MO,2002,0,278873,5310,725679,551,723507,87605,87605,93466,1815664,35225,37858,13025.1,10.36,128691,1853522
MS,2002,143130,354550,25966,154339,112352,428283,105041,105041,386489,1042213,49641,49669,7253.6,9.91,436130,1091882
MT,2002,88781,70992,676052,166322,98542,161571,0,0,863375,398885,108642,108732,2280.7,9.28,972017,507617
NC,2002,0,243143,0,770928,0,876330,413784,413784,413784,2304185,125225,130792,18347.3,11.37,539009,2434977
ND,2002,69169,61592,401823,422809,178657,123512,0,0,649649,607913,23405,21759,1924,6.69,673054,629672
NE,2002,1196,121174,0,217939,16136,222228,105696,105696,123028,667037,70412,44226,4197.6,9.63,193440,711263
NH,2002,0,26077,0,39845,0,176568,97054,97054,97054,339544,28896,28898,2972.4,12.81,125950,368442
NJ,2002,0,617094,0,104849,0,1178970,322299,322299,322299,2223212,28692,28790,19107.8,10.59,350991,2252002
NM,2002,1763599,229691,543314,284132,391860,243128,0,0,2698773,756951,8690,8188,3908.6,10.61,2707463,765139
NV,2002,6,181010,0,164775,3207,234506,0,0,3213,580291,39421,42485,5304.6,13.05,42634,622776
NY,2002,37663,1227223,0,280584,951,1560207,413686,413686,452300,3481700,363959,364410,36598,12.7,816259,3846110
OH,2002,107180,862453,507902,1396899,32660,1270998,113451,113451,761193,3643801,38155,55136,27491.8,10.37,799348,3698937
OK,2002,1756481,522530,33899,391379,385242,549321,0,0,2175622,1463230,40915,40973,8811.4,9.51,2216537,1504203
OR,2002,856,206808,0,37751,0,366296,0,0,856,610855,400635,403564,7653.1,11.11,401491,1014419
PA,2002,164591,700472,1734216,1457349,13479,1403563,794521,794521,2706807,4355905,96601,97199,28636,10.81,2803408,4453104
RI,2002,0,89824,0,76,0,98079,0,0,0,187979,3699,3736,2032,12.72,3699,191715
SC,2002,0,190714,0,404455,0,478674,556829,556829,556829,1630672,80639,80645,9972.1,10.03,637468,1711317
SD,2002,1024,41532,0,39957,7041,117665,0,0,8065,199154,55199,52277,1913.1,10.09,63264,251431
TN,2002,2116,263690,81658,655906,1595,737577,287927,287927,373296,1945100,153221,148413,13839.2,9.69,526517,2093513
TX,2002,5844637,4444506,581168,1550325,2353501,5924903,371923,371923,9151229,12291657,121027,123648,68744.5,7.96,9272256,12415305
UT,2002,294974,172366,586926,370551,79872,258213,0,0,961772,801130,10879,11230,4231.7,9.18,972651,812360
VA,2002,79530,266853,793381,482759,145,855088,285549,285549,1158605,1890249,77071,82137,15694.1,10.45,1235676,1972386
VT,2002,0,8399,0,25,0,84489,41378,41378,41378,134291,22714,22715,1562.6,13.8,64092,157006
WA,2002,0,240494,91335,100832,0,736282,94484,94484,185819,1172092,887900,893664,12223.2,10.45,1073719,2065756
WI,2002,0,388007,0,491990,0,600959,129991,129991,129991,1610947,101548,110928,12643.8,10,231539,1721875
WV,2002,218554,155536,3805093,993467,8445,228699,0,0,4032092,1377702,15137,16225,4295.6,8.53,4047229,1393927
WY,2002,1626950,117387,6486135,480360,317846,150160,0,0,8430931,747907,12630,12279,2183.3,8.03,8443561,760186
US,2002,21894284,23513541,22729814,21902852,12160205,38122145,8145429,8145429,64929732,91683967,5730811,5726026,663964.4,10.1,70660543,97409993
AK,2003,562687,415891,16864,12552,2062497,285417,0,0,2642048,713860,19374,19607,2816.7,9.08,2661422,733467
AL,2003,374804,360483,486363,873735,45785,561731,330137,330137,1237089,2126086,283428,284732,12686.9,9.98,1520517,2410818
AR,2003,175384,254571,180,253653,41812,357343,153093,153093,370469,1018660,107905,107933,7534,10.23,478374,1126593
AZ,2003,447,275650,262251,406537,273,537072,297872,297872,560843,1517131,83079,84201,11922.7,13.86,643922,1601332
CA,2003,373822,2317062,0,69469,1438939,3520087,370958,370958,2183719,6277576,719392,768593,78234.1,13.83,2903111,7046169
CO,2003,1078307,436873,801108,394163,124746,457424,0,0,2004161,1288460,21882,28794,9909.9,10.79,2026043,1317254
CT,2003,0,157252,0,41864,0,434313,167566,167566,167566,800995,31229,32973,9224.7,14.42,198795,833968
DC,2003,0,33700,0,173,0,29777,0,0,0,63650,925,926,1578.6,15.82,925,64576
DE,2003,0,47971,0,46997,0,136588,0,0,0,231556,1401,1401,2200.2,12.31,1401,232957
FL,2003,4543,714826,0,723832,18925,1931768,322868,322868,346336,3693294,188655,188488,34861.4,13.59,534991,3881782
GA,2003,0,390760,0,819031,0,1033435,346601,346601,346601,2589827,221665,221675,21438.8,10.79,568266,2811502
HI,2003,0,137,0,18044,0,269414,0,0,0,287595,13309,13318,3335.9,15.6,13309,300913
IA,2003,0,197629,0,444587,0,375212,41559,41559,41559,1058987,135112,93652,8506.8,10.45,176671,1152639
ID,2003,0,71754,0,10219,0,140328,0,0,0,222301,109553,108868,3186.9,10.7,109553,331169
IL,2003,244,1001534,721185,1010087,67843,1238292,987308,987308,1776580,4237221,159431,127073,30177,11.25,1936011,4364294
IN,2003,1591,566838,792236,1570700,10817,885902,0,0,804644,3023440,55292,57491,18953.8,9.17,859936,3080931
KS,2003,479745,284722,3307,389464,197043,419163,92648,92648,772743,1185997,26498,21917,7957.8,11.11,799241,1207914
KY,2003,92879,231384,2809836,943652,14720,644470,0,0,2917435,1819506,65615,70509,11270.3,9.77,2983050,1890015
LA,2003,1599277,1353179,54642,247978,522104,1954979,168069,168069,2344092,3724205,148609,152633,22948.7,8.58,2492701,3876838
MA,2003,0,414970,0,109373,0,730803,51880,51880,51880,1307026,50337,50418,16201.4,14.76,102217,1357444
MD,2003,50,204345,124609,329590,0,570714,142685,142685,267344,1247334,54135,54160,12458.1,12.34,321479,1301494
ME,2003,0,73517,0,7481,0,265720,0,0,0,346718,132344,132348,4098.3,11.22,132344,479066
MI,2003,248982,950714,0,747940,37514,968414,291332,291332,577828,2958400,103312,112635,24121.8,10.78,681140,3071035
MN,2003,0,374189,0,390691,0,671245,139799,139799,139799,1575924,113752,107570,13315.2,10.81,253551,1683494
