state,year,gas_generation,gas_consumption,coal_generation,coal_consumption,oil_generation,oil_consumption,nuclear_generation,nuclear_consumption,non_renewable_gen,non_renewable_consumption,renewable_generation,renewable_consumption,expenditures (M dollars),price (dollars per MBtu),all_generation,all_consumption
ND,2005,67863,49643,392566,431133,206915,136531,0,0,667344,617307,23400,22847,3123.2,10.5,690744,640154
NE,2005,1183,120125,0,228667,13966,228762,91856,91856,107005,669410,94833,51713,6448,14.69,201838,721123
NH,2005,0,72934,0,44169,0,190420,98682,98682,98682,406205,41288,42485,4602.9,18.46,139970,448690
NJ,2005,0,625429,0,125332,0,1225835,327604,327604,327604,2304200,19937,29321,30945.9,16.31,347541,2333521
NM,2005,1828036,225352,536980,317916,353585,254624,0,0,2718601,797892,24068,23591,6403.3,16.54,2742669,821483
NV,2005,5,236007,0,197799,2593,275627,0,0,2598,709433,34479,38191,8493,18.01,37077,747624
NY,2005,56560,1107206,0,256879,1172,1807239,442937,442937,500669,3614261,365538,374254,56292,19.01,866207,3988515
OH,2005,87155,860874,606427,1481045,32816,1280172,154481,154481,880879,3776572,54495,73750,41386.2,15.39,935374,3850322
OK,2005,1824461,600011,39664,397379,355320,557797,0,0,2219445,1555187,61329,65251,14247.8,14.83,2280774,1620438
OR,2005,468,239539,0,35624,0,374572,0,0,468,649735,364066,368234,10720.1,15.26,364534,1017969
PA,2005,176552,719117,1607811,1490836,14268,1498536,796157,796157,2594788,4504646,104224,109625,42406.8,15.66,2699012,4614271
RI,2005,0,82460,0,76,0,97180,0,0,0,179716,879,1923,3098.9,19.02,879,181639
SC,2005,0,178308,0,431086,0,547413,554544,554544,554544,1711351,104205,105466,15556.8,14.93,658749,1816817
SD,2005,999,42848,0,36952,8085,118214,0,0,9084,198014,93723,61504,2910.6,15.18,102807,259518
TN,2005,2277,238400,82083,657711,1879,782703,290153,290153,376392,1968967,167074,174097,21504,14.65,543466,2143064
TX,2005,5973867,3621139,595612,1627863,2277086,5987815,398994,398994,9245559,11635811,138300,140202,118064.4,14.72,9383859,11776013
UT,2005,321479,168770,554221,405546,96703,287599,0,0,972403,861915,13607,15773,6980.2,13.73,986010,877688
VA,2005,92154,311537,716557,458452,151,998762,291357,291357,1100219,2060108,127185,132464,25908.1,14.98,1227404,2192572
VT,2005,0,8396,0,25,0,90539,42491,42491,42491,141451,24325,24499,2296.9,18.66,66816,165950
WA,2005,0,272167,82685,112284,0,768653,86016,86016,168701,1239120,807731,815363,18344,14.99,976432,2054483
WI,2005,0,415583,0,522521,0,596603,103535,103535,103535,1638242,144880,145127,19225.8,15.08,248415,1783369
WV,2005,250088,124984,3848482,959657,9837,231304,0,0,4108407,1315945,28331,28742,6390.2,13.24,4136738,1344687
WY,2005,1811903,112863,7019843,490940,300266,155289,0,0,9132012,759092,19105,19291,3610.7,12.94,9151117,778383
US,2005,20900370,22567132,23183084,22793450,10974163,40227276,8160810,8160810,63218427,93748668,6219077,6231821,1045730.4,15.57,69437504,99980489
AK,2006,497073,375719,22230,14981,1568790,342272,0,0,2088093,732972,13298,13481,6118.4,16.61,2101391,746453
AL,2006,326288,402044,443032,886678,43726,611265,332992,332992,1146038,2232979,266153,266931,20165.3,14.96,1412191,2499910
AR,2006,278724,240885,516,256907,34498,358679,158952,158952,472690,1015423,100949,100633,11450.5,15.78,573639,1116056
AZ,2006,623,365230,179356,431985,319,582623,250568,250568,430866,1630406,80771,95745,18868.5,19.7,511637,1726151
CA,2006,351706,2375929,0,67017,1293487,3786528,333488,333488,1978681,6562962,822155,897576,115739.4,19.4,2800836,7460538
CO,2006,1295490,458911,805711,394348,142106,506709,0,0,2243307,1359968,45458,42229,16309.6,16.94,2288765,1402197
CT,2006,0,175870,0,45722,0,391609,173111,173111,173111,786312,25700,35689,13711.2,23.09,198811,822001
DC,2006,0,29775,0,0,0,22535,0,0,0,52310,51,619,2161.3,24.03,51,52929
DE,2006,0,44787,0,56625,0,122657,0,0,0,224069,870,3619,3421.5,19.76,870,227688
FL,2006,3501,917468,0,696215,13688,2018975,327934,327934,345123,3960592,186848,192085,58757.6,20.75,531971,4152677
GA,2006,0,433920,0,892732,0,1089023,333981,333981,333981,2749656,207730,210818,34265.7,16.45,541711,2960474
HI,2006,0,179,0,16102,0,295474,0,0,0,311755,13998,15528,5729.1,24.33,13998,327283
IA,2006,0,207162,0,435187,0,435701,53171,53171,53171,1131221,271182,142841,13544.5,15.59,324353,1274062
ID,2006,0,79041,0,8212,0,165353,0,0,0,252606,146507,147673,5076.3,15.07,146507,400279
IL,2006,236,896138,740927,1045398,59879,1340467,982498,982498,1783540,4264501,136525,109454,42631,15.91,1920065,4373955
IN,2006,2971,499753,783367,1587100,10283,860450,0,0,796621,2947303,48968,55594,27080.2,13.91,845589,3002897
KS,2006,424422,269274,9591,364212,206874,351672,97570,97570,738457,1082728,39697,28423,10508.3,16.19,778154,1111151
KY,2006,101101,217166,3000879,1023263,13572,699444,0,0,3115552,1939873,62393,70058,18136.5,15,3177945,2009931
LA,2006,1571921,1346690,57533,265214,426990,2127341,174634,174634,2231078,3913879,149821,150707,40601,14.25,2380899,4064586
MA,2006,0,378026,0,112173,0,648398,60832,60832,60832,1199429,45553,62215,24313.7,23.41,106385,1261644
MD,2006,50,189179,122170,324657,0,538678,144320,144320,266540,1196834,45594,59415,19403.3,20.02,312134,1256249
ME,2006,0,67557,0,6618,0,235253,0,0,0,309428,152339,152966,6214.9,17.13,152339,462394
MI,2006,271909,816993,0,773595,33924,926618,303305,303305,609138,2820511,117111,130017,34457,16.66,726249,2950528
MN,2006,0,358198,0,370814,0,680945,137569,137569,137569,1547526,164929,129807,19840.6,16.08,302498,1677333
MO,2006,0,257924,8549,829054,505,736536,105567,105567,114621,1929081,45213,43545,21411.9,16.67,159834,1972626
MS,2006,84536,315909,38844,190057,100665,469598,108718,108718,332763,1084282,63223,63632,13028.1,16.98,395986,1147914
MT,2006,116906,75135,754967,194307,210505,194283,0,0,1082378,463725,122239,123334,4684,16.38,1204617,587059
NC,2006,0,230169,0,777871,0,918121,417016,417016,417016,2343177,136769,139856,30080.3,18.16,553785,2483033
ND,2006,71364,50007,397481,414838,229628,136542,0,0,698473,601387,26086,25802,3404.8,11.36,724559,627189
NE,2006,1214,131424,0,227444,13415,228780,93943,93943,108572,681591,103072,55259,7216.7,15.94,211644,736850
NH,2006,0,64644,0,44807,0,167795,98067,98067,98067,375313,33103,36022,4994.9,21.84,131170,411335
NJ,2006,0,566724,0,116093,0,1175190,339846,339846,339846,2197853,22080,47800,34337.7,19.02,361926,2245653
NM,2006,1780567,227661,485090,316221,344822,268257,0,0,2610479,812139,29384,28385,7181.5,18.35,2639863,840524
NV,2006,5,257595,0,84225,2471,291217,0,0,2476,633037,38352,41987,9958.6,20.05,40828,675024
NY,2006,57156,1120196,0,256345,1810,1556773,440606,440606,499572,3373920,378622,401535,58973.5,21.14,878194,3775455
OH,2006,89688,770872,557935,1450797,31546,1289366,175798,175798,854967,3686833,55793,77290,44539.7,17.14,910760,3764123
OK,2006,1880459,644381,43052,384418,372569,583533,0,0,2296080,1612332,50325,54844,16329.9,16.46,2346405,1667176
OR,2006,641,229731,0,26895,0,381213,0,0,641,637839,433010,438058,12219.4,16.91,433651,1075897
PA,2006,184081,684695,1583197,1499292,15016,1430279,785731,785731,2568025,4399997,107632,119645,46149.4,17.57,2675657,4519642
RI,2006,0,78517,0,49,0,90465,0,0,0,169031,2629,5429,3476.4,22.56,2629,174460
SC,2006,0,181895,0,432220,0,551756,530071,530071,530071,1695942,100251,100539,16951,16.12,630322,1796481
SD,2006,966,40861,0,39570,8062,116224,0,0,9028,196655,114833,71514,3188,16.84,123861,268169
TN,2006,2764,230047,71957,677174,1114,785896,257523,257523,333358,1950640,143513,151732,23803.8,16.38,476871,2102372
TX,2006,6249274,3544789,593496,1610301,2276390,6086196,430593,430593,9549753,11671879,154257,193518,136021.7,16.78,9704010,11865397
UT,2006,372099,197894,593321,382757,103977,310505,0,0,1069397,891156,13202,15066,8294.6,15.88,1082599,906222
VA,2006,106530,283456,768443,433606,99,958756,287938,287938,1163010,1963756,119684,133344,27851.1,16.63,1282694,2097100
VT,2006,0,8062,0,27,0,88725,53287,53287,53287,150101,27595,27854,2533.6,21.03,80882,177955
WA,2006,0,271034,40268,69150,0,795563,97341,97341,137609,1233088,928254,937172,21188.4,16.46,1065863,2170260
WI,2006,0,376559,0,462732,0,589851,127657,127657,127657,1556799,144625,140855,20666.4,16.75,272282,1697654
WV,2006,265874,126316,3802035,958880,10011,236344,0,0,4077920,1321540,28268,28884,7044.4,14.39,4106188,1350424
WY,2006,1990659,112929,7739988,489325,307249,166896,0,0,10037896,769150,19351,19573,4276.9,14.55,10057247,788723
US,2006,21381434,22225318,23643934,22444214,10766766,39743329,8214626,8214626,64006760,92627487,6585966,6636591,1158820.6,17.4,70592726,99264078
AK,2007,489308,372186,20654,13662,1528851,323089,0,0,2038813,708937,14037,14286,6272,17.94,2052850,723223
AL,2007,307971,430649,469036,888436,41592,601179,360036,360036,1178635,2280300,228703,229491,21315.1,16.06,1407338,2509791
AR,2007,273910,229610,1863,275037,34980,359757,162434,162434,473187,1026838,121735,121766,12200.2,16.68,594922,1148604
AZ,2007,670,401992,173934,438524,249,571417,280920,280920,455773,1692853,83248,97679,20137.4,20.87,539021,1790532
CA,2007,343379,2467545,0,66495,1267404,3795097,375427,375427,1986210,6704564,632075,707404,121101,20.15,2618285,7411968
CO,2007,1336499,512841,815511,388586,151861,513431,0,0,2303871,1414858,54145,50616,17030.5,17.06,2358016,1465474
CT,2007,0,183604,0,39931,0,377002,171874,171874,171874,772411,24028,36171,15146.3,25.31,195902,808582
DC,2007,0,33856,0,502,0,21547,0,0,0,55905,54,741,2371.5,24.57,54,56646
DE,2007,0,49932,0,63839,0,119810,0,0,0,233581,1529,4972,3646.3,21.06,1529,238553
FL,2007,2071,943845,0,720824,12052,1938437,307215,307215,321338,3910321,191796,199921,60500,21.67,513134,4110242
GA,2007,0,455220,0,934773,0,1052558,341364,341364,341364,2783915,201333,205849,35464.7,17.33,542697,2989764
HI,2007,0,173,0,17107,0,303540,0,0,0,320820,15029,16995,6177.1,24.98,15029,337815
IA,2007,0,264166,0,465167,0,420924,47398,47398,47398,1197655,342569,176851,14669.3,16.09,389967,1374506
ID,2007,0,83904,0,10261,0,162468,0,0,0,256633,125621,127411,5437.1,15.91,125621,384044
IL,2007,1479,968652,748745,1091382,55732,1324077,1004100,1004100,1810056,4388211,168587,130912,47370.7,17.3,1978643,4519123
IN,2007,3685,543800,783017,1572084,10017,834645,0,0,796719,2950529,72434,67602,28301.6,14.46,869153,3018131
KS,2007,414251,291695,9313,396333,212222,402282,108762,108762,744548,1199072,49690,36181,12577.4,17.32,794238,1235253
KY,2007,100611,235876,2872880,1020709,15463,690076,0,0,2988954,1946661,56251,65820,19714.5,16,3045205,2012481
LA,2007,1577182,1430621,42871,249800,446472,2130984,179127,179127,2245652,3990532,150497,151977,43812.3,15.14,2396149,4142509
MA,2007,0,418907,0,120168,0,647827,53701,53701,53701,1240603,38235,59616,25774.9,24.18,91936,1300219
MD,2007,36,208439,53756,327979,0,531469,150551,150551,204343,1218438,40873,58135,21300.8,21.62,245216,1276573
ME,2007,0,67227,0,6583,0,233431,0,0,0,307241,155620,156513,6964.6,18.83,155620,463754
MI,2007,274595,814887,0,801178,33211,919768,330581,330581,638387,2866414,133054,140683,36088.5,17.57,771441,3007097
MN,2007,0,395658,0,366208,0,678958,137437,137437,137437,1578261,185052,153230,21749.6,17.12,322489,1731491
MO,2007,0,277919,5290,802879,464,730638,98302,98302,104056,1909738,65428,62175,23240.1,17.8,169484,1971913
MS,2007,95280,374990,36159,185063,119898,460954,98164,98164,349501,1119171,66060,64570,13387.8,17.35,415561,1183741
MT,2007,121193,75077,778069,202480,202461,206442,0,0,1101723,483999,117749,119592,5271.7,17.28,1219472,603591
NC,2007,0,244475,0,827974,0,920732,420029,420029,420029,2413210,113126,117419,32202,19.41,533155,2530629
ND,2007,76920,56842,385056,420719,259770,139972,0,0,721746,617533,43992,32353,3958.3,12.75,765738,649886
NE,2007,1583,153490,0,216872,13543,229195,115815,115815,130941,715372,129955,64219,7956.6,16.73,260896,779591
NH,2007,0,64856,0,44899,0,165020,112902,112902,112902,387677,34804,38434,5338.4,23.25,147706,426111
NJ,2007,0,640236,0,111799,0,1241757,335757,335757,335757,2329549,20736,52951,38007.3,19.67,356493,2382500
NM,2007,1690846,239858,455522,296067,343238,277635,0,0,2489606,813560,32764,32003,7855.5,19.16,2522370,845563
NV,2007,5,262547,0,82871,2366,285879,0,0,2371,631297,37718,42138,10538.9,21.28,40089,673435
NY,2007,56206,1214349,0,258450,2198,1562784,445288,445288,503692,3480871,363732,392381,63250.7,21.98,867424,3873252
OH,2007,91366,835555,555706,1463773,29899,1284301,165349,165349,842320,3748978,62087,84298,47612.3,17.77,904407,3833276
OK,2007,1978256,677472,34845,373217,364826,563473,0,0,2377927,1614162,74304,82596,17059.8,17.07,2452231,1696758
OR,2007,422,260240,0,45461,0,374647,0,0,422,680348,396903,402132,13149.4,18.21,397325,1082480
PA,2007,190587,780090,1557006,1491907,16170,1402752,811600,811600,2575363,4486349,106474,121913,48798.9,18.34,2681837,4608262
RI,2007,0,90259,0,39,0,87046,0,0,0,177344,2779,6398,3558,22.96,2779,183742
SC,2007,0,182201,0,444046,0,533797,558014,558014,558014,1718058,98956,97885,17708.3,17.2,656970,1815943
SD,2007,998,54099,0,33256,9651,117482,0,0,10649,204837,115685,69575,3616.8,17.69,126334,274412
TN,2007,4092,229520,67714,672766,1647,773597,301038,301038,374491,1976921,116436,126960,25111.3,17.32,490927,2103881
TX,2007,6850716,3626526,554720,1609155,2269314,5917140,429577,429577,10104327,11582398,197390,250482,142017.3,17.79,10301717,11832880
UT,2007,399971,231125,556436,391386,113303,299418,0,0,1069710,921929,11031,14230,8693.9,16.51,1080741,936159
VA,2007,115979,331018,656314,458200,110,958752,286019,286019,1058422,2033989,117796,135794,29867.3,17.56,1176218,2169783
VT,2007,0,8874,0,34,0,86757,49337,49337,49337,145002,18652,19025,2723.7,22.9,67989,164027
WA,2007,0,279429,0,95737,0,820408,85051,85051,85051,1280625,884848,894490,23030.5,17.71,969899,2175115
WI,2007,0,403947,0,465083,0,584630,135416,135416,135416,1589076,150029,142051,22363.5,17.95,285445,1731127
WV,2007,262708,124555,3855269,983259,11554,235366,0,0,4129531,1343180,26024,26873,7590.2,15.02,4155555,1370053
WY,2007,2231308,145985,7847634,494955,313873,169430,0,0,10392815,810370,18322,18963,4489.6,14.95,10411137,829333
US,2007,22182362,23670821,23337321,22747914,10741443,39383775,8458589,8458589,64719715,94261099,6509976,6522719,1233868.7,18.34,71229691,100783818
AK,2008,448503,343938,23041,14705,1449379,278725,0,0,1920923,637368,12913,13126,7549.4,23.91,1933836,650494
AL,2008,289280,414260,506837,842826,44637,566323,407551,407551,1248305,2230960,234001,237856,24410.3,19.22,1482306,2468816
AR,2008,453357,238424,1548,278849,35258,354937,148085,148085,638248,1020295,124882,126307,14387.8,19.96,763130,1146602
AZ,2008,537,409966,173998,458727,313,542166,305726,305726,480574,1716585,96744,111984,22394.7,23.95,577318,1828569
CA,2008,331830,2472612,0,63050,1244291,3553537,339506,339506,1915627,6428705,604057,680290,134480.1,23.25,2519684,7108995
CO,2008,1493824,508491,714673,385416,173687,486432,0,0,2382184,1380339,80049,77341,19560.4,19.81,2462233,1457680
CT,2008,0,169802,0,45188,0,339919,161305,161305,161305,716214,26348,36453,16223.9,29.1,187653,752667
DC,2008,0,32774,0,391,0,18444,0,0,0,51609,63,563,2493,27.52,63,52172
DE,2008,0,49749,0,60891,0,112725,0,0,0,223365,2950,5787,4129.6,24.35,2950,229152
FL,2008,2545,970038,0,693161,11327,1717483,335857,335857,349729,3716539,195231,242563,67432.2,25.21,544960,3959102
GA,2008,0,436093,0,885849,0,946224,331235,331235,331235,2599401,174517,198357,40523.7,21.01,505752,2797758
HI,2008,0,148,0,18095,0,239055,0,0,0,257298,15907,19327,6828.5,35.87,15907,276625
IA,2008,0,297357,0,485218,0,423828,55210,55210,55210,1261613,413336,213180,17242.1,18.05,468546,1474793
ID,2008,0,90550,0,8604,0,152495,0,0,0,251649,133541,132857,6097.9,18.09,133541,384506
IL,2008,1266,1003219,758122,1103163,54694,1274262,994526,994526,1808608,4375170,199716,160653,54789.7,19.87,2008324,4535823
IN,2008,4762,555489,803043,1558078,10782,778521,0,0,818587,2892088,131764,99311,32469.4,17.08,950351,2991399
KS,2008,427313,292523,5139,371804,230045,349719,88812,88812,751309,1102858,85267,58223,13469.9,19.85,836576,1161081
KY,2008,121259,233165,2927900,1024816,15341,645708,0,0,3064500,1903689,61024,71481,22712.4,19.07,3125524,1975170
LA,2008,1562562,1369823,54763,262470,419607,2193330,160658,160658,2197590,3986281,109774,114723,57869.7,19.87,2307364,4101004
MA,2008,0,415247,0,106897,0,621929,61339,61339,61339,1205412,42731,60558,29228.1,27.38,104070,1265970
MD,2008,29,202744,65597,309294,0,507179,153422,153422,219048,1172639,44833,60163,24170.5,25.32,263881,1232802
ME,2008,0,74494,0,5908,0,201971,0,0,0,282373,182576,186763,7599,20.35,182576,469136
MI,2008,161842,797534,0,799969,36946,836361,329075,329075,527863,2762939,146310,158418,39005,19.53,674173,2921357
MN,2008,0,435086,0,359359,0,643535,135843,135843,135843,1573823,218973,179586,24656.6,19.06,354816,1753409
MO,2008,0,298421,5413,792918,574,675205,98025,98025,104012,1864569,89945,84232,25757.2,20.36,193957,1948801
MS,2008,114855,364237,28807,177166,128203,422379,98215,98215,370080,1061997,50044,50436,15499.9,21.34,420124,1112433
MT,2008,116656,77645,794235,203260,183257,192417,0,0,1094148,473322,123136,125437,6049.7,20.47,1217284,598759
NC,2008,0,249654,0,794693,0,883566,415742,415742,415742,2343655,143052,167201,37076.4,22.11,558794,2510856
ND,2008,68855,60480,387403,424615,361468,137092,0,0,817726,622187,58719,43508,4677.4,14.99,876445,665695
NE,2008,3116,172858,0,234654,13885,219571,99075,99075,116076,726158,177032,84810,9103,18.65,293108,810968
NH,2008,0,74025,0,40241,0,160994,97729,97729,97729,372989,39884,43631,6041.2,26.66,137613,416620
NJ,2008,0,634694,0,97671,0,1216492,336500,336500,336500,2285357,23381,50637,44711.1,23.61,359881,2335994
NM,2008,1608955,252831,475817,284346,348899,241949,0,0,2433671,779126,35367,36694,8485.7,22.56,2469038,815820
NV,2008,4,274915,0,88619,2529,259144,0,0,2533,622678,37866,44483,11117.3,23.67,40399,667161
NY,2008,51377,1205137,0,228985,2245,1480358,451622,451622,505244,3366102,399476,428750,71673.5,25.29,904720,3794852
OH,2008,88252,823457,638424,1438432,29510,1232449,183055,183055,939241,3677393,110716,116287,53732.5,20.36,1049957,3793680
OK,2008,2099841,711379,29851,391688,390334,540101,0,0,2520026,1643168,75383,87945,20580.9,20.39,2595409,1731113
OR,2008,796,274659,0,41408,0,356012,0,0,796,672079,414454,418899,14780.8,20.88,415250,1090978
PA,2008,207599,778251,1591997,1421091,17394,1380331,822134,822134,2639124,4401807,117868,147224,56585.9,21.41,2756992,4549031
RI,2008,0,91220,0,0,0,89555,0,0,0,180775,2965,6306,4124.9,26.42,2965,187081
SC,2008,0,175858,0,445454,0,502602,541026,541026,541026,1664940,96543,106872,20631.3,20.56,637569,1771812
SD,2008,1649,65453,0,43098,9860,112732,0,0,11509,221283,144447,82021,4223.3,19.66,155956,303304
TN,2008,4874,238441,59086,643796,1960,714765,282514,282514,348434,1879516,135439,150056,29078,20.63,483873,2029572
TX,2008,7711507,3653462,515493,1605925,2354440,5245208,425682,425682,11007122,10930277,306973,351072,161247.2,21.71,11314095,11281349
UT,2008,463709,237414,564147,395878,127826,279173,0,0,1155682,912465,13953,17793,9741.4,18.7,1169635,930258
VA,2008,133335,310647,623303,415102,93,870324,291932,291932,1048663,1888005,117907,140866,34088.7,21.18,1166570,2028871
VT,2008,0,8665,0,0,0,77454,51163,51163,51163,137282,27029,28824,2990.1,27.01,78192,166106
WA,2008,0,307085,0,94601,0,766791,96886,96886,96886,1265363,882230,898118,26365,20.61,979116,2163481
WI,2008,0,415109,0,480712,0,558483,127039,127039,127039,1581343,178495,160022,25079.5,20.14,305534,1741365
WV,2008,277186,119617,3870325,955628,12331,221682,0,0,4159842,1296927,29407,33587,8672.2,17.64,4189249,1330514
WY,2008,2463041,147129,8087435,500109,307661,169975,0,0,10858137,817213,21703,22477,5456.1,17.86,10879840,839690
US,2008,23102917,23836273,23706398,22382816,10613292,36791612,8426491,8426491,65849098,91437192,7190918,7174060,1408759.3,21.53,73040016,98611252
AK,2009,443666,343971,29016,14505,1365958,264885,0,0,1838640,623361,15685,15912,5487.2,18.22,1854325,639273
AL,2009,267121,466272,459529,630969,41696,517082,415392,415392,1183738,2029715,264530,274392,18497.3,16.55,1448268,2304107
AR,2009,691076,248100,112,264083,33379,335123,158663,158663,883230,1005969,125695,130887,10567.4,15.64,1008925,1136856
AZ,2009,727,377504,160706,413260,267,497660,320692,320692,482392,1609116,80882,96257,17469.9,20.14,563274,1705373
CA,2009,310439,2391374,0,52403,1202120,3405446,332218,332218,1844777,6181441,646698,725594,104556.9,18.68,2491475,6907035
CO,2009,1620932,525999,614581,350224,176285,465666,0,0,2411798,1341889,80083,78297,14673.9,15.52,2491881,1420186
CT,2009,0,188570,0,26265,0,338792,174220,174220,174220,727847,29512,41664,13357.5,23.65,203732,769511
DC,2009,0,34339,0,331,0,22477,0,0,0,57147,48,619,2342.6,24.38,48,57766
DE,2009,0,51651,0,33938,0,85876,0,0,0,171465,3574,6637,3563.7,21.23,3574,178102
FL,2009,263,1081725,0,581517,4037,1576612,304544,304544,308844,3544398,213639,272931,54481.6,21.32,522483,3817329
GA,2009,0,475240,0,723449,0,991848,331368,331368,331368,2521905,195373,220565,32128.5,16.7,526741,2742470
HI,2009,0,167,0,17083,0,238955,0,0,0,256205,15792,19688,4804.8,25.21,15792,275893
IA,2009,0,283990,0,444574,0,416419,48937,48937,48937,1193920,547827,289408,13397.1,14.31,596764,1483328
ID,2009,0,87072,0,8443,0,144545,0,0,0,240060,134502,136273,4922.9,15.56,134502,376333
IL,2009,1503,956553,783300,1014972,52774,1196579,998562,998562,1836139,4166666,251020,186174,40662.2,15.78,2087159,4352840
IN,2009,5001,511289,800172,1365413,10457,747721,0,0,815630,2624423,157512,118682,24606.7,14.04,973142,2743105
KS,2009,399685,292425,4296,356079,228903,346515,91710,91710,724594,1086729,91075,66668,10310,15.67,815669,1153397
KY,2009,121695,214261,2616139,937106,15132,640072,0,0,2752966,1791439,72836,85039,17505.7,15.28,2825802,1876478
LA,2009,1731327,1315265,50481,252519,400009,2043025,175524,175524,2357341,3786333,107145,119238,34713.8,12.79,2464486,3905571
MA,2009,0,408509,0,92056,0,571126,56437,56437,56437,1128128,49324,69061,22716.6,22.08,105761,1197189
MD,2009,45,203604,53448,266860,0,508121,152180,152180,205673,1130765,48410,66644,20138.6,21.11,254083,1197409
ME,2009,0,73569,0,1652,0,202702,0,0,0,277923,148204,153514,5760.9,17.48,148204,431437
MI,2009,160080,750783,0,735907,36296,803633,228540,228540,424916,2518863,131656,149749,31281.9,16.8,556572,2668612
MN,2009,0,405516,0,328678,0,593753,129623,129623,129623,1457570,262846,203854,18439.1,15.38,392469,1661424
MO,2009,0,266711,9626,765617,615,644431,107175,107175,117416,1783934,101279,92068,20033.9,16.69,218695,1876002
MS,2009,116540,371245,35109,141675,135302,399195,115033,115033,401984,1027148,55625,56832,11558.1,16.83,457609,1083980
MT,2009,101900,76635,703719,172812,161443,182297,0,0,967062,431744,113798,116455,4486.6,16.14,1080860,548199
NC,2009,0,252729,0,678673,0,798784,427226,427226,427226,2157412,148859,179898,28801.6,18.53,576085,2337310
ND,2009,80485,51921,391800,423267,462794,127743,0,0,935079,602931,85152,64260,3410.7,11.34,1020231,667191
NE,2009,2943,165418,0,249593,12986,216104,98682,98682,114611,729797,178841,86963,7189.6,14.88,293452,816760
NH,2009,0,62049,0,32844,0,154095,92214,92214,92214,341202,45367,49904,4905.1,22.09,137581,391106
NJ,2009,0,638324,0,59563,0,1030179,359036,359036,359036,2087102,33744,66283,33094,19.11,392780,2153385
NM,2009,1549619,247947,466100,306162,354832,226557,0,0,2370551,780666,31000,33261,6328.2,17.86,2401551,813927
NV,2009,4,284007,0,83812,2540,237095,0,0,2544,604914,46713,54225,8896.2,20.01,49257,659139
NY,2009,45791,1166614,0,155965,1931,1385849,454806,454806,502528,3163234,369963,409737,56046.9,20.73,872491,3572971
OH,2009,92466,770759,670150,1267267,28362,1124661,159040,159040,950018,3321727,97090,114671,40806.2,16.99,1047108,3436398
OK,2009,2124055,681062,18277,373271,389609,504395,0,0,2531941,1558728,81605,92578,14994.5,15.92,2613546,1651306
OR,2009,841,254837,0,33150,0,348602,0,0,841,636589,415649,423040,12037,17.58,416490,1059629
PA,2009,286260,839453,1439895,1223937,17209,1246075,808770,808770,2552134,4118235,128934,165867,43376.3,18.13,2681068,4284102
RI,2009,0,94877,0,0,0,91589,0,0,0,186466,3565,7418,3436.5,21.52,3565,193884
SC,2009,0,197419,0,371981,0,512746,545434,545434,545434,1627580,103035,121866,16347.2,16.76,648469,1749446
SD,2009,2133,66317,0,37480,9651,115110,0,0,11784,218907,179384,106123,3406.6,15.42,191168,325030
TN,2009,5631,223019,50347,477713,1554,655512,281996,281996,339528,1638240,179234,192435,22021.9,17.14,518762,1830675
TX,2009,7572107,3481133,455507,1497854,2316097,5058739,434024,434024,10777735,10471750,304800,352946,111233,15.75,11082535,10824696
UT,2009,475218,223646,502598,364994,133064,264282,0,0,1110880,852922,15950,20364,7424.9,15.03,1126830,873286
VA,2009,145805,330369,535643,334605,70,810586,295072,295072,976590,1770632,115242,144884,26661.1,17.56,1091832,1915516
VT,2009,0,8679,0,0,0,84448,56067,56067,56067,149194,31572,34193,2552.1,21.15,87639,183387
WA,2009,0,319739,0,84048,0,732582,69385,69385,69385,1205754,832840,853813,20982.3,16.78,902225,2059567
WI,2009,0,392485,0,425941,0,518538,132653,132653,132653,1469617,171835,153699,19382.5,16.7,304488,1623316
WV,2009,301044,118643,3379357,742922,8706,191464,0,0,3689107,1053029,45121,50902,6834.9,15.98,3734228,1103931
WY,2009,2536150,147220,7459876,473912,298880,163336,0,0,10294906,784468,34009,35036,3935.8,13.64,10328915,819504
US,2009,23689477,23421003,21689785,19691342,11340125,34779630,8355220,8355220,65074607,86247195,7624076,7607468,1066528.4,17.26,72698683,93854663
AK,2010,419310,334978,33556,14548,1269643,272455,0,0,1722509,621981,16965,17148,6320.1,20.56,1739474,639129
AL,2010,256117,544405,493094,718684,41499,521156,396557,396557,1187267,2180802,242242,266139,21629.4,17.8,1429509,2446941
AR,2010,938086,274774,718,293689,33251,342608,157017,157017,1129072,1068088,126234,138624,12309,16.87,1255306,1206712
AZ,2010,186,336208,167930,457909,215,549707,326102,326102,494433,1669926,84742,100835,20320.2,22,579175,1770761
CA,2010,320668,2325411,0,54972,1162146,3248203,336562,336562,1819376,5965148,713821,836280,116275.5,21.23,2533197,6801428
CO,2010,1730439,505628,551825,382623,191794,483122,0,0,2474058,1371373,83518,82338,17068.6,17.54,2557576,1453711
CT,2010,0,203814,0,28711,0,331959,175074,175074,175074,739558,30339,43526,14328.9,25.6,205413,783084
DC,2010,0,33717,0,71,0,24139,0,0,0,57927,109,1118,2487.1,25.71,109,59045
DE,2010,0,56086,0,30253,0,100897,0,0,0,187236,3834,7751,3841.6,22.8,3834,194987
FL,2010,12645,1180462,0,637416,10307,1715374,250178,250178,273130,3783430,230248,289743,60734.6,22.02,503378,4073173
