state,year,gas_generation,gas_consumption,coal_generation,coal_consumption,oil_generation,oil_consumption,nuclear_generation,nuclear_consumption,renewable_generation,renewable_consumption,expenditures (M dollars),price (dollars per MBtu)
MA,2002,0,404456,0,118358,0,711365,60237,60237,46721,46804,14177.8,12.77
MD,2002,23,203489,125682,325834,0,544694,126641,126641,38064,41124,10786.1,11.08
ME,2002,0,126275,0,8000,0,230101,0,0,140385,140389,3643.8,9.85
MI,2002,285789,984715,0,739866,41864,992007,324615,324615,89210,99500,22114.8,9.95
MN,2002,0,374171,0,360822,0,650633,142897,142897,107216,104032,11648.2,9.56
MO,2002,0,278873,5310,725679,551,723507,87605,87605,35225,37858,13025.1,10.36
MS,2002,143130,354550,25966,154339,112352,428283,105041,105041,49641,49669,7253.6,9.91
MT,2002,88781,70992,676052,166322,98542,161571,0,0,108642,108732,2280.7,9.28
NC,2002,0,243143,0,770928,0,876330,413784,413784,125225,130792,18347.3,11.37
ND,2002,69169,61592,401823,422809,178657,123512,0,0,23405,21759,1924,6.69
NE,2002,1196,121174,0,217939,16136,222228,105696,105696,70412,44226,4197.6,9.63
NH,2002,0,26077,0,39845,0,176568,97054,97054,28896,28898,2972.4,12.81
NJ,2002,0,617094,0,104849,0,1178970,322299,322299,28692,28790,19107.8,10.59
NM,2002,1763599,229691,543314,284132,391860,243128,0,0,8690,8188,3908.6,10.61
NV,2002,6,181010,0,164775,3207,234506,0,0,39421,42485,5304.6,13.05
NY,2002,37663,1227223,0,280584,951,1560207,413686,413686,363959,364410,36598,12.7
OH,2002,107180,862453,507902,1396899,32660,1270998,113451,113451,38155,55136,27491.8,10.37
OK,2002,1756481,522530,33899,391379,385242,549321,0,0,40915,40973,8811.4,9.51
OR,2002,856,206808,0,37751,0,366296,0,0,400635,403564,7653.1,11.11
PA,2002,164591,700472,1734216,1457349,13479,1403563,794521,794521,96601,97199,28636,10.81
RI,2002,0,89824,0,76,0,98079,0,0,3699,3736,2032,12.72
SC,2002,0,190714,0,404455,0,478674,556829,556829,80639,80645,9972.1,10.03
SD,2002,1024,41532,0,39957,7041,117665,0,0,55199,52277,1913.1,10.09
TN,2002,2116,263690,81658,655906,1595,737577,287927,287927,153221,148413,13839.2,9.69
TX,2002,5844637,4444506,581168,1550325,2353501,5924903,371923,371923,121027,123648,68744.5,7.96
UT,2002,294974,172366,586926,370551,79872,258213,0,0,10879,11230,4231.7,9.18
VA,2002,79530,266853,793381,482759,145,855088,285549,285549,77071,82137,15694.1,10.45
VT,2002,0,8399,0,25,0,84489,41378,41378,22714,22715,1562.6,13.8
WA,2002,0,240494,91335,100832,0,736282,94484,94484,887900,893664,12223.2,10.45
WI,2002,0,388007,0,491990,0,600959,129991,129991,101548,110928,12643.8,10
WV,2002,218554,155536,3805093,993467,8445,228699,0,0,15137,16225,4295.6,8.53
WY,2002,1626950,117387,6486135,480360,317846,150160,0,0,12630,12279,2183.3,8.03
US,2002,21894284,23513541,22729814,21902852,12160205,38122145,8145429,8145429,5730811,5726026,663964.4,10.1
AK,2003,562687,415891,16864,12552,2062497,285417,0,0,19374,19607,2816.7,9.08
AL,2003,374804,360483,486363,873735,45785,561731,330137,330137,283428,284732,12686.9,9.98
AR,2003,175384,254571,180,253653,41812,357343,153093,153093,107905,107933,7534,10.23
AZ,2003,447,275650,262251,406537,273,537072,297872,297872,83079,84201,11922.7,13.86
CA,2003,373822,2317062,0,69469,1438939,3520087,370958,370958,719392,768593,78234.1,13.83
CO,2003,1078307,436873,801108,394163,124746,457424,0,0,21882,28794,9909.9,10.79
CT,2003,0,157252,0,41864,0,434313,167566,167566,31229,32973,9224.7,14.42
DC,2003,0,33700,0,173,0,29777,0,0,925,926,1578.6,15.82
DE,2003,0,47971,0,46997,0,136588,0,0,1401,1401,2200.2,12.31
FL,2003,4543,714826,0,723832,18925,1931768,322868,322868,188655,188488,34861.4,13.59
GA,2003,0,390760,0,819031,0,1033435,346601,346601,221665,221675,21438.8,10.79
HI,2003,0,137,0,18044,0,269414,0,0,13309,13318,3335.9,15.6
IA,2003,0,197629,0,444587,0,375212,41559,41559,135112,93652,8506.8,10.45
ID,2003,0,71754,0,10219,0,140328,0,0,109553,108868,3186.9,10.7
IL,2003,244,1001534,721185,1010087,67843,1238292,987308,987308,159431,127073,30177,11.25
IN,2003,1591,566838,792236,1570700,10817,885902,0,0,55292,57491,18953.8,9.17
KS,2003,479745,284722,3307,389464,197043,419163,92648,92648,26498,21917,7957.8,11.11
KY,2003,92879,231384,2809836,943652,14720,644470,0,0,65615,70509,11270.3,9.77
LA,2003,1599277,1353179,54642,247978,522104,1954979,168069,168069,148609,152633,22948.7,8.58
MA,2003,0,414970,0,109373,0,730803,51880,51880,50337,50418,16201.4,14.76
MD,2003,50,204345,124609,329590,0,570714,142685,142685,54135,54160,12458.1,12.34
ME,2003,0,73517,0,7481,0,265720,0,0,132344,132348,4098.3,11.22
MI,2003,248982,950714,0,747940,37514,968414,291332,291332,103312,112635,24121.8,10.78
MN,2003,0,374189,0,390691,0,671245,139799,139799,113752,107570,13315.2,10.81
MO,2003,0,265133,11380,795634,505,739036,101089,101089,31603,34678,14446.7,11.36
MS,2003,157366,275147,37626,178949,111946,480507,113625,113625,45346,45369,8286.9,11.01
MT,2003,88966,70048,665901,188981,112636,157136,0,0,100370,100455,2581.8,10.79
NC,2003,0,227387,0,771618,0,900018,426332,426332,181552,188855,20310.3,12.29
ND,2003,67756,56088,402709,420832,170584,121722,0,0,26158,24205,2104.2,7.39
NE,2003,1464,119741,0,227290,15967,229099,83344,83344,73956,45556,4745.3,10.8
NH,2003,0,56415,0,41633,0,200220,96677,96677,29849,29851,3457.3,14.15
NJ,2003,0,635689,0,106857,0,1146359,309629,309629,26707,26805,21977,12.17
NM,2003,1799677,225220,490629,305641,386216,248457,0,0,9554,8743,4456.7,11.93
NV,2003,6,191050,0,182553,2859,239284,0,0,33578,37158,5811.1,13.88
NY,2003,37113,1131344,0,286179,829,1760002,423959,423959,357371,359374,43362.8,14.44
OH,2003,97106,877891,539441,1443498,32816,1303901,88327,88327,47969,63646,31148.7,11.49
OK,2003,1723722,556306,37411,393790,376513,545461,0,0,41954,42001,10175.5,10.89
