state,year,gas_generation,gas_consumption,coal_generation,coal_consumption,oil_generation,oil_consumption,nuclear_generation,nuclear_consumption,renewable_generation,renewable_consumption,expenditures (M dollars),price (dollars per MBtu)
WY,2006,1990659,112929,7739988,489325,307249,166896,0,0,19351,19573,4276.9,14.55
US,2006,21381434,22225318,23643934,22444214,10766766,39743329,8214626,8214626,6585966,6636591,1158820.6,17.4
AK,2007,489308,372186,20654,13662,1528851,323089,0,0,14037,14286,6272,17.94
AL,2007,307971,430649,469036,888436,41592,601179,360036,360036,228703,229491,21315.1,16.06
AR,2007,273910,229610,1863,275037,34980,359757,162434,162434,121735,121766,12200.2,16.68
AZ,2007,670,401992,173934,438524,249,571417,280920,280920,83248,97679,20137.4,20.87
CA,2007,343379,2467545,0,66495,1267404,3795097,375427,375427,632075,707404,121101,20.15
CO,2007,1336499,512841,815511,388586,151861,513431,0,0,54145,50616,17030.5,17.06
CT,2007,0,183604,0,39931,0,377002,171874,171874,24028,36171,15146.3,25.31
DC,2007,0,33856,0,502,0,21547,0,0,54,741,2371.5,24.57
DE,2007,0,49932,0,63839,0,119810,0,0,1529,4972,3646.3,21.06
FL,2007,2071,943845,0,720824,12052,1938437,307215,307215,191796,199921,60500,21.67
GA,2007,0,455220,0,934773,0,1052558,341364,341364,201333,205849,35464.7,17.33
HI,2007,0,173,0,17107,0,303540,0,0,15029,16995,6177.1,24.98
IA,2007,0,264166,0,465167,0,420924,47398,47398,342569,176851,14669.3,16.09
ID,2007,0,83904,0,10261,0,162468,0,0,125621,127411,5437.1,15.91
IL,2007,1479,968652,748745,1091382,55732,1324077,1004100,1004100,168587,130912,47370.7,17.3
IN,2007,3685,543800,783017,1572084,10017,834645,0,0,72434,67602,28301.6,14.46
KS,2007,414251,291695,9313,396333,212222,402282,108762,108762,49690,36181,12577.4,17.32
KY,2007,100611,235876,2872880,1020709,15463,690076,0,0,56251,65820,19714.5,16
LA,2007,1577182,1430621,42871,249800,446472,2130984,179127,179127,150497,151977,43812.3,15.14
MA,2007,0,418907,0,120168,0,647827,53701,53701,38235,59616,25774.9,24.18
MD,2007,36,208439,53756,327979,0,531469,150551,150551,40873,58135,21300.8,21.62
ME,2007,0,67227,0,6583,0,233431,0,0,155620,156513,6964.6,18.83
MI,2007,274595,814887,0,801178,33211,919768,330581,330581,133054,140683,36088.5,17.57
MN,2007,0,395658,0,366208,0,678958,137437,137437,185052,153230,21749.6,17.12
MO,2007,0,277919,5290,802879,464,730638,98302,98302,65428,62175,23240.1,17.8
MS,2007,95280,374990,36159,185063,119898,460954,98164,98164,66060,64570,13387.8,17.35
MT,2007,121193,75077,778069,202480,202461,206442,0,0,117749,119592,5271.7,17.28
NC,2007,0,244475,0,827974,0,920732,420029,420029,113126,117419,32202,19.41
ND,2007,76920,56842,385056,420719,259770,139972,0,0,43992,32353,3958.3,12.75
NE,2007,1583,153490,0,216872,13543,229195,115815,115815,129955,64219,7956.6,16.73
NH,2007,0,64856,0,44899,0,165020,112902,112902,34804,38434,5338.4,23.25
NJ,2007,0,640236,0,111799,0,1241757,335757,335757,20736,52951,38007.3,19.67
NM,2007,1690846,239858,455522,296067,343238,277635,0,0,32764,32003,7855.5,19.16
NV,2007,5,262547,0,82871,2366,285879,0,0,37718,42138,10538.9,21.28
NY,2007,56206,1214349,0,258450,2198,1562784,445288,445288,363732,392381,63250.7,21.98
OH,2007,91366,835555,555706,1463773,29899,1284301,165349,165349,62087,84298,47612.3,17.77
OK,2007,1978256,677472,34845,373217,364826,563473,0,0,74304,82596,17059.8,17.07
OR,2007,422,260240,0,45461,0,374647,0,0,396903,402132,13149.4,18.21
PA,2007,190587,780090,1557006,1491907,16170,1402752,811600,811600,106474,121913,48798.9,18.34
RI,2007,0,90259,0,39,0,87046,0,0,2779,6398,3558,22.96
SC,2007,0,182201,0,444046,0,533797,558014,558014,98956,97885,17708.3,17.2
SD,2007,998,54099,0,33256,9651,117482,0,0,115685,69575,3616.8,17.69
TN,2007,4092,229520,67714,672766,1647,773597,301038,301038,116436,126960,25111.3,17.32
TX,2007,6850716,3626526,554720,1609155,2269314,5917140,429577,429577,197390,250482,142017.3,17.79
UT,2007,399971,231125,556436,391386,113303,299418,0,0,11031,14230,8693.9,16.51
VA,2007,115979,331018,656314,458200,110,958752,286019,286019,117796,135794,29867.3,17.56
VT,2007,0,8874,0,34,0,86757,49337,49337,18652,19025,2723.7,22.9
WA,2007,0,279429,0,95737,0,820408,85051,85051,884848,894490,23030.5,17.71
WI,2007,0,403947,0,465083,0,584630,135416,135416,150029,142051,22363.5,17.95
WV,2007,262708,124555,3855269,983259,11554,235366,0,0,26024,26873,7590.2,15.02
WY,2007,2231308,145985,7847634,494955,313873,169430,0,0,18322,18963,4489.6,14.95
US,2007,22182362,23670821,23337321,22747914,10741443,39383775,8458589,8458589,6509976,6522719,1233868.7,18.34
AK,2008,448503,343938,23041,14705,1449379,278725,0,0,12913,13126,7549.4,23.91
AL,2008,289280,414260,506837,842826,44637,566323,407551,407551,234001,237856,24410.3,19.22
AR,2008,453357,238424,1548,278849,35258,354937,148085,148085,124882,126307,14387.8,19.96
AZ,2008,537,409966,173998,458727,313,542166,305726,305726,96744,111984,22394.7,23.95
CA,2008,331830,2472612,0,63050,1244291,3553537,339506,339506,604057,680290,134480.1,23.25
CO,2008,1493824,508491,714673,385416,173687,486432,0,0,80049,77341,19560.4,19.81
CT,2008,0,169802,0,45188,0,339919,161305,161305,26348,36453,16223.9,29.1
DC,2008,0,32774,0,391,0,18444,0,0,63,563,2493,27.52
DE,2008,0,49749,0,60891,0,112725,0,0,2950,5787,4129.6,24.35
FL,2008,2545,970038,0,693161,11327,1717483,335857,335857,195231,242563,67432.2,25.21
GA,2008,0,436093,0,885849,0,946224,331235,331235,174517,198357,40523.7,21.01
HI,2008,0,148,0,18095,0,239055,0,0,15907,19327,6828.5,35.87
IA,2008,0,297357,0,485218,0,423828,55210,55210,413336,213180,17242.1,18.05
ID,2008,0,90550,0,8604,0,152495,0,0,133541,132857,6097.9,18.09
IL,2008,1266,1003219,758122,1103163,54694,1274262,994526,994526,199716,160653,54789.7,19.87
IN,2008,4762,555489,803043,1558078,10782,778521,0,0,131764,99311,32469.4,17.08
KS,2008,427313,292523,5139,371804,230045,349719,88812,88812,85267,58223,13469.9,19.85
KY,2008,121259,233165,2927900,1024816,15341,645708,0,0,61024,71481,22712.4,19.07
LA,2008,1562562,1369823,54763,262470,419607,2193330,160658,160658,109774,114723,57869.7,19.87
MA,2008,0,415247,0,106897,0,621929,61339,61339,42731,60558,29228.1,27.38
MD,2008,29,202744,65597,309294,0,507179,153422,153422,44833,60163,24170.5,25.32
ME,2008,0,74494,0,5908,0,201971,0,0,182576,186763,7599,20.35
MI,2008,161842,797534,0,799969,36946,836361,329075,329075,146310,158418,39005,19.53
MN,2008,0,435086,0,359359,0,643535,135843,135843,218973,179586,24656.6,19.06
MO,2008,0,298421,5413,792918,574,675205,98025,98025,89945,84232,25757.2,20.36
MS,2008,114855,364237,28807,177166,128203,422379,98215,98215,50044,50436,15499.9,21.34
MT,2008,116656,77645,794235,203260,183257,192417,0,0,123136,125437,6049.7,20.47
NC,2008,0,249654,0,794693,0,883566,415742,415742,143052,167201,37076.4,22.11
ND,2008,68855,60480,387403,424615,361468,137092,0,0,58719,43508,4677.4,14.99
NE,2008,3116,172858,0,234654,13885,219571,99075,99075,177032,84810,9103,18.65
NH,2008,0,74025,0,40241,0,160994,97729,97729,39884,43631,6041.2,26.66
NJ,2008,0,634694,0,97671,0,1216492,336500,336500,23381,50637,44711.1,23.61
NM,2008,1608955,252831,475817,284346,348899,241949,0,0,35367,36694,8485.7,22.56
NV,2008,4,274915,0,88619,2529,259144,0,0,37866,44483,11117.3,23.67
NY,2008,51377,1205137,0,228985,2245,1480358,451622,451622,399476,428750,71673.5,25.29
OH,2008,88252,823457,638424,1438432,29510,1232449,183055,183055,110716,116287,53732.5,20.36
OK,2008,2099841,711379,29851,391688,390334,540101,0,0,75383,87945,20580.9,20.39
OR,2008,796,274659,0,41408,0,356012,0,0,414454,418899,14780.8,20.88
PA,2008,207599,778251,1591997,1421091,17394,1380331,822134,822134,117868,147224,56585.9,21.41
RI,2008,0,91220,0,0,0,89555,0,0,2965,6306,4124.9,26.42
SC,2008,0,175858,0,445454,0,502602,541026,541026,96543,106872,20631.3,20.56
SD,2008,1649,65453,0,43098,9860,112732,0,0,144447,82021,4223.3,19.66
TN,2008,4874,238441,59086,643796,1960,714765,282514,282514,135439,150056,29078,20.63
TX,2008,7711507,3653462,515493,1605925,2354440,5245208,425682,425682,306973,351072,161247.2,21.71
UT,2008,463709,237414,564147,395878,127826,279173,0,0,13953,17793,9741.4,18.7
VA,2008,133335,310647,623303,415102,93,870324,291932,291932,117907,140866,34088.7,21.18
VT,2008,0,8665,0,0,0,77454,51163,51163,27029,28824,2990.1,27.01
WA,2008,0,307085,0,94601,0,766791,96886,96886,882230,898118,26365,20.61
WI,2008,0,415109,0,480712,0,558483,127039,127039,178495,160022,25079.5,20.14
WV,2008,277186,119617,3870325,955628,12331,221682,0,0,29407,33587,8672.2,17.64
WY,2008,2463041,147129,8087435,500109,307661,169975,0,0,21703,22477,5456.1,17.86
US,2008,23102917,23836273,23706398,22382816,10613292,36791612,8426491,8426491,7190918,7174060,1408759.3,21.53
AK,2009,443666,343971,29016,14505,1365958,264885,0,0,15685,15912,5487.2,18.22
AL,2009,267121,466272,459529,630969,41696,517082,415392,415392,264530,274392,18497.3,16.55
AR,2009,691076,248100,112,264083,33379,335123,158663,158663,125695,130887,10567.4,15.64
AZ,2009,727,377504,160706,413260,267,497660,320692,320692,80882,96257,17469.9,20.14
CA,2009,310439,2391374,0,52403,1202120,3405446,332218,332218,646698,725594,104556.9,18.68
CO,2009,1620932,525999,614581,350224,176285,465666,0,0,80083,78297,14673.9,15.52
CT,2009,0,188570,0,26265,0,338792,174220,174220,29512,41664,13357.5,23.65
DC,2009,0,34339,0,331,0,22477,0,0,48,619,2342.6,24.38
DE,2009,0,51651,0,33938,0,85876,0,0,3574,6637,3563.7,21.23
FL,2009,263,1081725,0,581517,4037,1576612,304544,304544,213639,272931,54481.6,21.32
GA,2009,0,475240,0,723449,0,991848,331368,331368,195373,220565,32128.5,16.7
HI,2009,0,167,0,17083,0,238955,0,0,15792,19688,4804.8,25.21
IA,2009,0,283990,0,444574,0,416419,48937,48937,547827,289408,13397.1,14.31
ID,2009,0,87072,0,8443,0,144545,0,0,134502,136273,4922.9,15.56
IL,2009,1503,956553,783300,1014972,52774,1196579,998562,998562,251020,186174,40662.2,15.78
IN,2009,5001,511289,800172,1365413,10457,747721,0,0,157512,118682,24606.7,14.04
KS,2009,399685,292425,4296,356079,228903,346515,91710,91710,91075,66668,10310,15.67
KY,2009,121695,214261,2616139,937106,15132,640072,0,0,72836,85039,17505.7,15.28
LA,2009,1731327,1315265,50481,252519,400009,2043025,175524,175524,107145,119238,34713.8,12.79
MA,2009,0,408509,0,92056,0,571126,56437,56437,49324,69061,22716.6,22.08
MD,2009,45,203604,53448,266860,0,508121,152180,152180,48410,66644,20138.6,21.11
ME,2009,0,73569,0,1652,0,202702,0,0,148204,153514,5760.9,17.48
MI,2009,160080,750783,0,735907,36296,803633,228540,228540,131656,149749,31281.9,16.8
MN,2009,0,405516,0,328678,0,593753,129623,129623,262846,203854,18439.1,15.38
MO,2009,0,266711,9626,765617,615,644431,107175,107175,101279,92068,20033.9,16.69
MS,2009,116540,371245,35109,141675,135302,399195,115033,115033,55625,56832,11558.1,16.83
MT,2009,101900,76635,703719,172812,161443,182297,0,0,113798,116455,4486.6,16.14
NC,2009,0,252729,0,678673,0,798784,427226,427226,148859,179898,28801.6,18.53
ND,2009,80485,51921,391800,423267,462794,127743,0,0,85152,64260,3410.7,11.34
NE,2009,2943,165418,0,249593,12986,216104,98682,98682,178841,86963,7189.6,14.88
NH,2009,0,62049,0,32844,0,154095,92214,92214,45367,49904,4905.1,22.09
NJ,2009,0,638324,0,59563,0,1030179,359036,359036,33744,66283,33094,19.11
NM,2009,1549619,247947,466100,306162,354832,226557,0,0,31000,33261,6328.2,17.86
NV,2009,4,284007,0,83812,2540,237095,0,0,46713,54225,8896.2,20.01
NY,2009,45791,1166614,0,155965,1931,1385849,454806,454806,369963,409737,56046.9,20.73
OH,2009,92466,770759,670150,1267267,28362,1124661,159040,159040,97090,114671,40806.2,16.99
OK,2009,2124055,681062,18277,373271,389609,504395,0,0,81605,92578,14994.5,15.92
OR,2009,841,254837,0,33150,0,348602,0,0,415649,423040,12037,17.58
PA,2009,286260,839453,1439895,1223937,17209,1246075,808770,808770,128934,165867,43376.3,18.13
RI,2009,0,94877,0,0,0,91589,0,0,3565,7418,3436.5,21.52
SC,2009,0,197419,0,371981,0,512746,545434,545434,103035,121866,16347.2,16.76
SD,2009,2133,66317,0,37480,9651,115110,0,0,179384,106123,3406.6,15.42
TN,2009,5631,223019,50347,477713,1554,655512,281996,281996,179234,192435,22021.9,17.14
TX,2009,7572107,3481133,455507,1497854,2316097,5058739,434024,434024,304800,352946,111233,15.75
UT,2009,475218,223646,502598,364994,133064,264282,0,0,15950,20364,7424.9,15.03
VA,2009,145805,330369,535643,334605,70,810586,295072,295072,115242,144884,26661.1,17.56
VT,2009,0,8679,0,0,0,84448,56067,56067,31572,34193,2552.1,21.15
WA,2009,0,319739,0,84048,0,732582,69385,69385,832840,853813,20982.3,16.78
WI,2009,0,392485,0,425941,0,518538,132653,132653,171835,153699,19382.5,16.7
WV,2009,301044,118643,3379357,742922,8706,191464,0,0,45121,50902,6834.9,15.98
WY,2009,2536150,147220,7459876,473912,298880,163336,0,0,34009,35036,3935.8,13.64
US,2009,23689477,23421003,21689785,19691342,11340125,34779630,8355220,8355220,7624076,7607468,1066528.4,17.26
AK,2010,419310,334978,33556,14548,1269643,272455,0,0,16965,17148,6320.1,20.56
AL,2010,256117,544405,493094,718684,41499,521156,396557,396557,242242,266139,21629.4,17.8
AR,2010,938086,274774,718,293689,33251,342608,157017,157017,126234,138624,12309,16.87
AZ,2010,186,336208,167930,457909,215,549707,326102,326102,84742,100835,20320.2,22
CA,2010,320668,2325411,0,54972,1162146,3248203,336562,336562,713821,836280,116275.5,21.23
CO,2010,1730439,505628,551825,382623,191794,483122,0,0,83518,82338,17068.6,17.54
CT,2010,0,203814,0,28711,0,331959,175074,175074,30339,43526,14328.9,25.6
DC,2010,0,33717,0,71,0,24139,0,0,109,1118,2487.1,25.71
DE,2010,0,56086,0,30253,0,100897,0,0,3834,7751,3841.6,22.8
FL,2010,12645,1180462,0,637416,10307,1715374,250178,250178,230248,289743,60734.6,22.02
GA,2010,0,540943,0,767906,0,1052237,350268,350268,220521,247287,38095.8,18.31
HI,2010,0,161,0,17117,0,262031,0,0,15221,18177,6199.8,29.12
IA,2010,0,278751,0,493794,0,417223,46518,46518,618615,335054,14727.2,15.37
ID,2010,0,85075,0,8527,0,161121,0,0,133887,132245,5777.9,17.18
IL,2010,2191,962240,767419,1069037,52589,1204917,1005374,1005374,298292,216383,45198.7,17.25
IN,2010,6884,577423,790889,1449371,10643,719848,0,0,205601,148291,27360.1,15
KS,2010,370711,280413,3069,359908,234726,348037,99876,99876,103509,75257,11614.9,17.58
KY,2010,145590,239057,2556093,1009823,14610,644203,0,0,70808,84515,20414.9,17.22
LA,2010,2419335,1482948,54346,259750,392022,1961488,194818,194818,113294,134463,40658.6,14.82
MA,2010,0,447428,0,83850,0,587698,61853,61853,50619,75267,24780.2,23.25
MD,2010,44,217625,58798,266067,0,498084,146265,146265,48677,71889,21737.2,22.7
ME,2010,0,80988,0,2279,0,189831,0,0,159000,163927,6289.8,18.72
MI,2010,137245,758696,0,749285,40484,814514,309636,309636,148432,160224,34657.3,18.31
MN,2010,0,427186,0,315438,0,589241,140873,140873,291070,224987,20894,17.04
MO,2010,0,282123,9816,801625,847,645915,94027,94027,102435,100761,23035.1,18.73
MS,2010,102998,444875,41586,148463,139090,379283,100791,100791,63661,74760,12900.2,17.94
MT,2010,90618,72888,797035,203339,146926,171656,0,0,114782,117221,4766.1,18.25
NC,2010,0,308710,0,749091,0,875156,425810,425810,158386,189830,34287.7,20.16
ND,2010,107687,64263,377669,409684,652819,148277,0,0,109146,84009,4374.5,13.23
NE,2010,2240,169608,0,254552,13520,243230,115540,115540,280420,133695,8788.1,16.74
NH,2010,0,62612,0,33827,0,148187,114032,114032,45146,51207,5298.1,24.16
NJ,2010,0,671005,0,71961,0,919715,342526,342526,37069,74011,35475.6,21.66
NM,2010,1453109,246201,381448,267474,380300,226019,0,0,33674,39926,7300.9,20.09
NV,2010,4,267808,0,80228,2471,282396,0,0,48915,56443,10209.8,20.87
NY,2010,36601,1224484,0,167094,2210,1485219,437620,437620,366290,405824,64479.5,22.78
OH,2010,80778,810593,644947,1355137,27678,1091310,165192,165192,125530,129218,44137.3,18.11
OK,2010,2067225,697351,17580,346047,407137,523822,0,0,96019,108361,16989.2,17.13
OR,2010,1428,242914,0,42556,0,342072,0,0,398699,406526,12707.1,19.1
PA,2010,600932,909259,1485775,1310670,18780,1238775,813462,813462,159183,190969,48687.8,19.61
RI,2010,0,95710,0,0,0,88739,0,0,3723,7178,3688.3,23.62
SC,2010,0,225961,0,404966,0,506026,543379,543379,115370,134412,18970.9,18.55
SD,2010,1871,72926,0,39061,9321,114364,0,0,209935,128953,3887.6,17.22
TN,2010,5951,263365,45030,515464,1491,681223,289930,289930,166480,176941,25589.3,18.66
TX,2010,7549424,3689581,538258,1568060,2475249,5394188,432036,432036,389925,458187,136163.2,17.39
UT,2010,465967,229078,445692,356148,143045,258718,0,0,17677,22771,8405.8,17.03
VA,2010,151378,385768,564326,346161,70,844391,277729,277729,110819,143772,30698.7,19.13
VT,2010,0,8501,0,0,0,81464,49986,49986,32420,34817,2795.8,23.67
WA,2010,0,294871,0,94934,0,691874,96588,96588,822182,839885,22299.5,18.42
WI,2010,0,376627,0,458442,0,528503,138812,138812,204256,186264,21680.1,18.46
WV,2010,301043,121780,3346117,848129,10684,203955,0,0,45978,52218,8182.2,17.43
WY,2010,2512933,154759,7658286,484239,312562,166451,0,0,44768,45955,4599.5,15.37
US,2010,24592827,24568039,21831301,20828382,11610469,35321018,8434433,8434433,8312486,8265583,1214277.5,18.92
AK,2011,405691,339819,33524,15481,1188008,268848,0,0,16078,16702,7829,25.22
AL,2011,225570,609288,468671,651032,48563,521337,411822,411822,255849,279972,24444.2,20.06
AR,2011,1090851,288906,2985,306119,46040,337961,148531,148531,124986,135133,14194.2,19.59
AZ,2011,171,293134,174841,459909,215,552991,327292,327292,111992,129110,23656.7,25.23
CA,2011,280255,2196252,0,55264,1137798,3174345,383644,383644,834579,953565,133412.9,24.55
CO,2011,1822749,477208,586847,368871,229199,463660,0,0,106167,107753,19453.3,21.32
CT,2011,0,236016,0,6081,0,317397,166669,166669,30742,43360,15619.4,28.16
DC,2011,0,33389,0,48,0,22226,0,0,276,1296,2443.3,26.61
DE,2011,0,81710,0,17881,0,114686,0,0,4154,7844,4279,25.1
FL,2011,15352,1235953,0,552730,11733,1610356,230369,230369,227695,288638,68671.7,25.46
GA,2011,0,531596,0,634756,0,1016118,338052,338052,218510,246831,43577.6,21.62
HI,2011,0,158,0,16080,0,266019,0,0,16593,20402,8067.9,37.15
IA,2011,0,277576,0,463138,0,415548,54572,54572,668883,353478,16995.8,17.8
ID,2011,0,83947,0,7846,0,157999,0,0,178551,177760,6709.9,19.72
IL,2011,3600,986310,864228,1052224,53116,1182982,1002694,1002694,313508,233916,50813.4,19.4
IN,2011,9184,635117,840986,1333442,11525,710963,0,0,222940,156049,32160.5,17.82
KS,2011,355019,285318,840,346521,240700,328517,76585,76585,108558,81476,13203.6,20.36
KY,2011,134060,229048,2623804,1010623,13491,630806,0,0,78515,90457,23866.3,20.62
LA,2011,3233225,1535704,52440,269993,401812,1949628,173859,173859,119653,135127,47663.9,17.49
MA,2011,0,464018,0,42963,0,574191,53212,53212,53063,77232,27798.4,26.14
MD,2011,35,199132,65871,241190,0,480594,150655,150655,57772,80305,23551,25.42
ME,2011,0,75061,0,1542,0,188435,0,0,161563,166773,7396.4,21.87
MI,2011,143529,787337,0,691150,40820,796407,344155,344155,162097,176632,39718.4,20.73
MN,2011,0,424958,0,315604,0,580208,125134,125134,310097,241621,24229.7,19.84
MO,2011,0,275308,10075,825650,684,623832,98062,98062,103118,96371,26512.2,22.26
MS,2011,99589,437873,28822,107546,139449,369063,108164,108164,66402,75576,14547.9,20.73
MT,2011,77669,79470,746650,165687,140099,177760,0,0,140362,143494,5749.1,21.79
NC,2011,0,311189,0,624783,0,830733,424073,424073,156885,188541,37825,23.29
ND,2011,130722,72247,367624,394771,884129,184822,0,0,132334,102733,6399.3,17.13
NE,2011,1981,173657,0,285384,14755,231425,72549,72549,297829,144549,10040.9,19.33
NH,2011,0,72778,0,24489,0,147637,87508,87508,46132,52027,6166.4,27.72
NJ,2011,0,677521,0,49592,0,931578,351658,351658,38479,74190,39814.7,24.33
NM,2011,1397252,251838,405952,284737,414804,232633,0,0,36007,43298,8906.6,23.81
NV,2011,3,255970,0,62701,2366,267077,0,0,50243,58036,11085.8,23.35
NY,2011,31902,1247757,0,125181,2175,1387352,446761,446761,399587,438840,69658.9,25.3
OH,2011,81303,848771,679187,1222606,27011,1067554,155806,155806,139196,138111,49386.1,20.43
OK,2011,2153980,676910,19094,378320,475728,507576,0,0,100945,114750,19383.7,19.73
OR,2011,1372,203607,0,35135,0,331023,0,0,517321,526732,14791.9,22.12
PA,2011,1374471,1000507,1511491,1212984,19900,1208894,796798,796798,178878,215431,55660.6,22.72
RI,2011,0,102465,0,0,0,82254,0,0,3674,6901,3901.8,26.18
SC,2011,0,235465,0,366160,0,485250,553573,553573,117505,135879,21439,21.4
SD,2011,1857,73973,0,32112,9477,112687,0,0,234103,154349,4613.5,20.45
TN,2011,5638,267929,38576,481127,1717,673366,281682,281682,178951,191304,29718.9,22.05
TX,2011,8014144,3800578,605290,1695239,3072915,5393262,414881,414881,445552,524901,162238,20.49
UT,2011,496623,230672,453869,346181,152401,276715,0,0,24384,31282,10545.2,20.29
VA,2011,155174,383436,562805,288348,64,795625,267334,267334,104935,136050,34392.7,22.3
VT,2011,0,8677,0,0,0,79938,51351,51351,30553,33019,3252.2,27.92
WA,2011,0,272261,0,56951,0,694946,50293,50293,1063523,1080055,26723,21.48
WI,2011,0,399247,0,447370,0,516508,120962,120962,208295,186444,24669.1,20.91
WV,2011,442561,124935,3321102,822645,12447,199665,0,0,47219,53542,9368.9,20.53
WY,2011,2375342,161776,7591675,467671,316187,168323,0,0,60357,61810,5577.8,18.2
US,2011,26409448,24953771,22057248,19663856,12012299,34639718,8268698,8268698,9305589,9209646,1392467.9,21.87
AK,2012,399421,347228,31332,15521,1115926,250063,0,0,17796,17831,7577.2,25.58
AL,2012,229914,677380,488084,547004,55245,513993,427975,427975,242204,265964,24117.9,19.86
AR,2012,1164000,300572,2077,296732,38303,321213,162353,162353,114236,125377,13724.9,19.84
AZ,2012,119,339043,161374,420570,302,538460,334636,334636,97645,114315,23910.3,26.03
CA,2012,278232,2456371,0,43832,1143824,3079327,193939,193939,700597,818490,134569.5,25.17
CO,2012,1895207,456471,629645,370085,288608,458509,0,0,105522,108351,19424.3,21.84
CT,2012,0,236260,0,9290,0,300595,178959,178959,26888,38975,15196.5,28.63
DC,2012,0,29389,0,77,0,19354,0,0,269,1077,2208,25.43
DE,2012,0,104421,0,17384,0,108981,0,0,3558,7116,4248.7,24.63
FL,2012,785,1348390,0,482984,12383,1549928,187259,187259,223004,287354,67903.9,25.56
GA,2012,0,624338,0,435546,0,956122,355674,355674,206750,237974,41659,21.83
HI,2012,0,187,0,16572,0,259024,0,0,18095,21430,8289.5,38.6
IA,2012,0,266283,0,422595,0,392006,45552,45552,677165,370566,16020.3,17.68
ID,2012,0,90339,0,5186,0,153915,0,0,156516,156600,6796,20.28
IL,2012,2148,939024,1094204,969294,56451,1140419,1010189,1010189,325074,242375,47680.2,19.19
IN,2012,8920,654528,826842,1193465,13630,683759,0,0,197461,144690,31977.9,18.14
KS,2012,334965,268086,388,307585,253756,329269,86818,86818,113448,90046,13106.6,20.98
KY,2012,118611,232701,2193276,909705,18548,619187,0,0,68400,80329,22986,20.65
LA,2012,3052087,1585876,53041,238811,411841,1806173,164092,164092,115934,130783,39711.8,15.12
MA,2012,0,430920,0,24036,0,536809,61402,61402,49832,73171,26812.4,26.85
MD,2012,46,216558,54088,192334,0,470103,142297,142297,48798,71341,22970.8,25.63
ME,2012,0,70451,0,1299,0,170117,0,0,157339,162608,7086.6,21.88
MI,2012,135076,804084,0,621633,43204,778608,293619,293619,162374,179593,39184,21.33
MN,2012,0,430277,0,257875,0,585141,125159,125159,306232,246583,24004.4,20.07
MO,2012,0,258945,9197,768297,1015,599722,112317,112317,91803,84689,25775.7,22.6
MS,2012,65344,499946,30537,82456,139995,373429,76456,76456,79602,88539,14529.5,20.56
MT,2012,70814,75234,660148,157308,153665,173248,0,0,124376,127819,5621.8,22
NC,2012,0,367948,0,534713,0,802771,412722,412722,153134,186574,37440.4,23.72
ND,2012,231489,71873,366826,406344,1405653,199212,0,0,127540,99508,6966.4,17.98
NE,2012,1353,161770,0,272587,17545,233031,60795,60795,273441,132976,10170.8,19.9
NH,2012,0,74336,0,14191,0,138269,85814,85814,44615,50256,5986.5,28.38
NJ,2012,0,670827,0,25589,0,884720,346962,346962,42925,76886,37651.4,24.4
NM,2012,1367017,249815,409050,263439,496196,233394,0,0,37490,45164,8994.9,24.19
NV,2012,4,281432,0,52850,2134,261495,0,0,56544,63674,11223.8,23.72
NY,2012,27243,1260950,0,72914,2100,1341448,427277,427277,360110,399747,67387,25.39
OH,2012,87405,869556,642149,1019140,29713,1045080,179055,179055,140309,143509,48072,20.49
OK,2012,2295025,712411,22004,327089,585794,522769,0,0,119646,135556,19605.4,20.19
OR,2012,787,220578,0,28259,0,323741,0,0,498462,507768,14892.2,22.58
PA,2012,2368982,1079495,1390644,1093178,25050,1157559,787753,787753,168572,203830,54045,22.76
RI,2012,0,98435,0,0,0,78856,0,0,2951,6003,3828.2,26.58
SC,2012,0,250481,0,298572,0,468285,535952,535952,119713,138964,21123.7,21.83
SD,2012,15413,71501,0,35574,10173,116746,0,0,217380,140762,4768.5,21.03
TN,2012,6624,281007,28372,423086,2152,646741,263045,263045,166373,181037,28637,22.26
TX,2012,8523892,3964124,578697,1498818,4210452,5504726,402823,402823,461642,533395,152502,19.16
UT,2012,534130,232630,387129,322055,175218,269396,0,0,21011,28026,10614,21.15
VA,2012,151383,424000,493398,222270,52,796113,300992,300992,102365,134372,34741.6,22.73
VT,2012,0,8287,0,0,0,75387,52283,52283,26305,28836,3212.9,29.07
WA,2012,0,271947,0,42656,0,697816,97808,97808,1019829,1036980,26878,21.77
WI,2012,0,410305,0,373281,0,501822,149845,149845,199575,178205,24202,21.34
WV,2012,602587,140133,3059090,756716,14923,194403,0,0,44877,51398,9173.2,21.19
WY,2012,2240497,158546,6973727,490128,335286,172121,0,0,53775,55484,5789.2,18.68
US,2012,27872427,26075691,20585319,17380923,13848648,33833375,8061822,8061822,8889503,8852895,1355174.7,21.84
AK,2013,380655,332631,24917,14819,1089953,230765,0,0,18629,18931,6957.4,25.11
AL,2013,211258,625869,469162,565051,60366,492294,426488,426488,313682,336863,23972.2,18.89
AR,2013,1164319,288045,1433,327099,38680,321254,124816,124816,121335,132370,14004.7,19.3
AZ,2013,74,340375,163691,454865,348,543380,328423,328423,99051,119753,23907.4,25.7
CA,2013,287883,2480792,0,38151,1153782,3096230,187162,187162,743306,897358,135749.7,25.15
